gsp_group_id,bmu_id,bmu_name,bmu_type,ngc_bmu_id,fuel_type,lead_party_id,lead_party_name,trading_unit_name,transmission_loss_factor,valid_from,valid_to,gsp_name,dno
,T_MOWEO-3,Moray East OWF3,T,MOWEO-3,WIND,MOWEL,Moray Offshore Wind East Ltd,,-0.0417624,2024-09-02,9999-12-31,,
,T_MOWEO-2,Moray East OWF2,T,MOWEO-2,WIND,MOWEL,Moray Offshore Wind East Ltd,,-0.0417624,2024-09-02,9999-12-31,,
,T_MOWEO-1,Moray East OWF1,T,MOWEO-1,WIND,MOWEL,Moray Offshore Wind East Ltd,,-0.0417624,2024-09-02,9999-12-31,,
_N,E_MINSW-1,Minsca Wind Farm,E,MINSW-1,WIND,AIRGEN,Mobius Renewables Gen. (GB),DEFAULT__N,-0.0146251,2024-09-02,9999-12-31,Southern Scotland,SP Energy Networks
,T_MYGPW-1,Minnygap Wind Farm,T,MYGPW-1,WIND,MEL,Minnygap Energy Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_MILWW-1,MILWW,T,MILWW-1,WIND,MILLEN07,Millennium Wind Energy Ltd,,-0.0417624,2024-09-02,9999-12-31,,
,T_MIDMW-1,MIDDLE MUIR WIND FARM,T,MIDMW-1,WIND,BANKSREN,OnPath Energy Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_MKHLW-1,Mark Hill,T,MKHLW-1,WIND,SPCRE01,SP Renewables (UK) Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_LARYW-4,London Array BMU4,T,LARYO-4,WIND,LAOWF,London Array Limited,,0.0084878,2024-04-01,2024-07-04,,
,T_LARYW-3,London Array BMU3,T,LARYO-3,WIND,LAOWF,London Array Limited,,0.0084878,2024-04-01,2024-07-04,,
,T_LARYW-2,London Array BMU2,T,LARYO-2,WIND,LAOWF,London Array Limited,,0.0084878,2024-04-01,2024-07-04,,
,T_LARYW-1,London Array BMU1,T,LARYO-1,WIND,LAOWF,London Array Limited,,0.0084878,2024-04-01,2024-07-04,,
,T_LCLTW-1,Lochluichart Windfarm,T,LCLTW-1,WIND,ENECOUK,Eneco Energy Trade,,-0.0417624,2024-09-02,9999-12-31,,
,T_LNCSW-2,Lincs wind farm offshore BMU2,T,LNCSO-2,WIND,LINCSWFL,Lincs Wind Farm Ltd,,0.0020155,2024-07-05,2024-09-01,,
,T_LNCSW-1,Lincs wind farm offshore BMU1,T,LNCSO-1,WIND,LINCSWFL,Lincs Wind Farm Ltd,,0.0020155,2024-07-05,2024-09-01,,
,T_KPMRW-1,KYPE MUIR WIND FARM,T,KPMRW-1,WIND,BANKSREN,OnPath Energy Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_KYPEW-1,KYPE MUIR EXT WIND FARM,T,KYPEW-1,WIND,KYPEMEXT,Kype Extension Wind Farm Ltd,,-0.0146251,2024-09-02,9999-12-31,,
_P,E_KINCW-1,Kincardine Offshore Windfarm,E,KINCW-1,WIND,STATKRA1,Statkraft Markets Gmbh,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_KLGLW-1,Kilgallioch Windfarm,T,KLGLW-1,WIND,SPCRE01,SP Renewables (UK) Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_KILBW-1,KILBW,T,KILBW-1,WIND,KILBRAUR,Kilbraur Wind Energy Ltd,,-0.0417624,2024-09-02,9999-12-31,,
,T_KENNW-1,Kennoxhead Wind Farm,T,KENNW-1,WIND,KENX01,Kennoxhead Wind Farm Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_KTHLW-1,KEITH HILL WINDFARM,T,KTHLW-1,WIND,STATKRA1,Statkraft Markets Gmbh,,-0.0146251,2024-09-02,9999-12-31,,
_P,E_HYWDW-1,Hywind Generator BMU1,E,HYWDW-1,WIND,HYWINDSC,HYWINDSC,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_HMGTO-2,Humber Offshore Wind Farm BMU2,T,HMGTO-2,WIND,HMBRWNDL,RWE Renewables UK Humber Wind,,-0.0079685,2024-09-02,9999-12-31,,
,T_HMGTO-1,Humber Offshore Wind Farm BMU1,T,HMGTO-1,WIND,HMBRWNDL,RWE Renewables UK Humber Wind,,-0.0079685,2024-09-02,9999-12-31,,
,T_HOWBO-3,HORNSEA_WF_2C,T,HOWBO-3,WIND,ORSTED03,Soundmark Wind Limited,,-0.0079685,2024-09-02,9999-12-31,,
,T_HOWBO-2,HORNSEA_WF_2B,T,HOWBO-2,WIND,ORSTED02,Sonningmay Wind Limited,,-0.0079685,2024-09-02,9999-12-31,,
,T_HOWBO-1,HORNSEA_WF_2A,T,HOWBO-1,WIND,ORSTED01,Breesea Limited,,-0.0079685,2024-09-02,9999-12-31,,
,T_HOWAO-3,HORNSEA_1C,T,HOWAO-3,WIND,DONG013,Hornsea 1 Limited,,-0.0079685,2024-09-02,9999-12-31,,
,T_HOWAO-2,HORNSEA_1B,T,HOWAO-2,WIND,DONG013,Hornsea 1 Limited,,-0.0079685,2024-09-02,9999-12-31,,
,T_HOWAO-1,HORNSEA_1A,T,HOWAO-1,WIND,DONG013,Hornsea 1 Limited,,-0.0079685,2024-09-02,9999-12-31,,
_P,E_HLTWW-1,Hill of Towie,E,HLTWW-1,WIND,SPSUP01,SP Energy Retail Ltd,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
_P,E_HLGLW-1,Hill of Glaschyle,E,HLGLW-1,WIND,RWETDL,ENGIE Power Limited,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_HRSTW-1,Harestanes,T,HRSTW-1,WIND,SPCRE01,SP Renewables (UK) Limited,,-0.0146251,2024-09-02,9999-12-31,,
_N,E_HRHLW-1,Hare Hill Extension Windfarm,E,HRHLW-1,WIND,SPCRE01,SP Renewables (UK) Limited,DEFAULT__N,-0.0146251,2024-09-02,9999-12-31,Southern Scotland,SP Energy Networks
_N,E_HBHDW-1,HARBURNHEADWF,E,HBHDW-1,WIND,HARBURN1,LDV Harburnhead Ltd,DEFAULT__N,-0.0146251,2024-09-02,9999-12-31,Southern Scotland,SP Energy Networks
,T_HALSW-1,Halsary Windfarm,T,HALSW-1,WIND,SPCRE01,SP Renewables (UK) Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_HADHW-1,Hadyard Hill Wind Farm,T,HADHW-1,WIND,SSERWFL,SSE Renewables Wind Farms,,-0.0146251,2024-09-02,9999-12-31,,
,T_GYMR-28,GyM OSPW 28,T,GYMRO-28,WIND,GYMOWL,Gwynt y Mor Offshore Wind Farm,Gwynt y Mor,-0.0024907,2024-09-02,9999-12-31,,
,T_GYMR-26,GyM OSPW 26,T,GYMRO-26,WIND,GYMOWL,Gwynt y Mor Offshore Wind Farm,Gwynt y Mor,-0.0024907,2024-09-02,9999-12-31,,
,T_GYMR-17,GyM OSPE 17,T,GYMRO-17,WIND,GYMOWL,Gwynt y Mor Offshore Wind Farm,Gwynt y Mor,-0.0024907,2024-09-02,9999-12-31,,
,T_GYMR-15,GyM OSPE 15,T,GYMRO-15,WIND,GYMOWL,Gwynt y Mor Offshore Wind Farm,Gwynt y Mor,-0.0024907,2024-09-02,9999-12-31,,
,T_GNFSW-2,Gunfleet Sands 2,T,GNFSW-2,WIND,DONG006,Gunfleet Sands II Limited,,0.0020155,2024-07-05,2024-09-01,,
,T_GNFSW-1,Gunfleet Sands 1,T,GNFSW-1,WIND,DONG005,Gunfleet Sands Limited,,0.0020155,2024-07-05,2024-09-01,,
,T_GRIFW-2,Griffin Wind Farm 2,T,GRIFW-2,WIND,GRWL,Griffin Wind Farm Ltd,,-0.0417624,2024-09-02,9999-12-31,,
,T_GRIFW-1,Griffin Wind Farm 1,T,GRIFW-1,WIND,GRWL,Griffin Wind Farm Ltd,,-0.0417624,2024-09-02,9999-12-31,,
_N,E_GRGRW-1,Greengairs East WF-1,E,GRGRW-1,WIND,GEWF0422,Greengairs East Wind Farm Ltd,DEFAULT__N,-0.0146251,2024-09-02,9999-12-31,Southern Scotland,SP Energy Networks
,T_GRGBW-3,Greater Gabbard Module 3,T,GRGBW-3,WIND,GGOWL,Greater Gabbard Offshore Winds,,0.0020155,2024-07-05,2024-09-01,,
,T_GRGBW-2,Greater Gabbard Module 2,T,GRGBW-2,WIND,GGOWL,Greater Gabbard Offshore Winds,,0.0020155,2024-07-05,2024-09-01,,
,T_GRGBW-1,Greater Gabbard Module 1,T,GRGBW-1,WIND,GGOWL,Greater Gabbard Offshore Winds,,0.0020155,2024-07-05,2024-09-01,,
_P,E_GDSTW-1,Gordonstown,E,GDSTW-1,WIND,AIRGEN,Mobius Renewables Gen. (GB),DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_GORDW-2,Gordonbush WF Extension,T,GORDW-2,WIND,SSEGEN,SSE Generation Ltd,,-0.0417624,2024-09-02,9999-12-31,,
,T_GORDW-1,Gordon Bush,T,GORDW-1,WIND,SSEGEN,SSE Generation Ltd,,-0.0417624,2024-09-02,9999-12-31,,
_P,E_GLOFW-1,Glens of Foudland,E,GLOFW-1,WIND,GOFPOWER,Glens of Foudland Ltd,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_GLNKW-1,GLEN KYLLACHY WINDFARM,T,GLNKW-1,WIND,LENCO,EDF Energy Customers Ltd,,-0.0417624,2024-09-02,9999-12-31,,
_N,E_GLCHW-1,Glenchamber,E,GLCHW-1,WIND,RWETDL,ENGIE Power Limited,DEFAULT__N,-0.0146251,2024-09-02,9999-12-31,Southern Scotland,SP Energy Networks
,T_GNAPW-1,Glen App Windfarm,T,GNAPW-1,WIND,SPCRE01,SP Renewables (UK) Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_GANW-24,Galloper OSP 24,T,GAOFO-4,WIND,GALOWFL,Galloper Offshore WindFarm Ltd,,0.0020155,2024-07-05,2024-09-01,,
,T_GANW-22,Galloper OSP 22,T,GAOFO-2,WIND,GALOWFL,Galloper Offshore WindFarm Ltd,,0.0020155,2024-07-05,2024-09-01,,
,T_GANW-13,Galloper OSP 13,T,GAOFO-3,WIND,GALOWFL,Galloper Offshore WindFarm Ltd,,0.0020155,2024-07-05,2024-09-01,,
,T_GANW-11,Galloper OSP 11,T,GAOFO-1,WIND,GALOWFL,Galloper Offshore WindFarm Ltd,,0.0020155,2024-07-05,2024-09-01,,
,T_GLWSW-1,Galawhistle Wind Farm,T,GLWSW-1,WIND,GALAWWF,GALAWHISTLE WIND FARM,,-0.0146251,2024-09-02,9999-12-31,,
,T_FSDLW-1,Freasdail Wind Farm,T,FSDLW-1,WIND,FEL,Freasdail Energy Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_FARR-2,Farr Unit 2,T,FAARW-2,WIND,SMARTEST,Smartestenergy Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_FARR-1,Farr Unit 1,T,FAARW-1,WIND,SMARTEST,Smartestenergy Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_FALGW-1,Fallago Rig Wind Farm,T,FALGW-1,WIND,FALLAGO,Fallago Rig Wind Farm Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_EWHLW-1,Ewe Hill II Windfarm,T,EWHLW-1,WIND,SPCRE01,SP Renewables (UK) Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_EDINW-1,Edinbane Windfarm,T,EDINW-1,WIND,VWPL,Vattenfall Wind Power Ltd,,-0.0417624,2024-09-02,9999-12-31,,
_P,E_BLARW-1,E_BLARW-1,E,BLARW-1,WIND,EROVAIRL,Erova Energy Limited,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
,T_EAAO-2,East Anglia One Offshore 2,T,EAAO-2,WIND,EAOWIND,East Anglia One Limited,,0.0020155,2024-07-05,2024-09-01,,
,T_EAAO-1,East Anglia One Offshore 1,T,EAAO-1,WIND,EAOWIND,East Anglia One Limited,,0.0020155,2024-07-05,2024-09-01,,
,T_DUNGW-1,Dunmglass Windfarm 1,T,DUNGW-1,WIND,DNMG,Dunmaglass Wind Farm Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_DNLWW-1,Dunlaw Extension,T,DNLWW-1,WIND,SPCRE01,SP Renewables (UK) Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_DDGNO-4,Dudgeon Generator BMU 4,T,DDGNO-4,WIND,DUDGEON,Dudgeon Offshore Wind Ltd,,0.0020155,2024-07-05,2024-09-01,,
,T_DDGNO-3,Dudgeon Generator BMU 3,T,DDGNO-3,WIND,DUDGEON,Dudgeon Offshore Wind Ltd,,0.0020155,2024-07-05,2024-09-01,,
,T_DDGNO-2,Dudgeon Generator BMU 2,T,DDGNO-2,WIND,DUDGEON,Dudgeon Offshore Wind Ltd,,0.0020155,2024-07-05,2024-09-01,,
,T_DDGNO-1,Dudgeon Generator BMU 1,T,DDGNO-1,WIND,DUDGEON,Dudgeon Offshore Wind Ltd,,0.0020155,2024-07-05,2024-09-01,,
,T_DOREW-2,Dorenell Wind Farm Two,T,DOREW-2,WIND,DORWIND,Dorenell Windfarm Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_DOREW-1,Dorenell Wind Farm One,T,DOREW-1,WIND,DORWIND,Dorenell Windfarm Limited,,-0.0417624,2024-09-02,9999-12-31,,
,T_DBAWO-5,Dogger Bank A Offshore WF 5,T,DBAWO-5,WIND,DBNKOWF1,Doggerbank OWF Project 1,,-0.0079685,2024-09-02,9999-12-31,,
,T_DBAWO-4,Dogger Bank A Offshore WF 4,T,DBAWO-4,WIND,DBNKOWF1,Doggerbank OWF Project 1,,-0.0079685,2024-09-02,9999-12-31,,
,T_DBAWO-3,Dogger Bank A Offshore WF 3,T,DBAWO-3,WIND,DBNKOWF1,Doggerbank OWF Project 1,,-0.0079685,2024-09-02,9999-12-31,,
,T_DBAWO-2,Dogger Bank A Offshore WF 2,T,DBAWO-2,WIND,DBNKOWF1,Doggerbank OWF Project 1,,-0.0079685,2024-09-02,9999-12-31,,
,T_DBAWO-1,Dogger Bank A Offshore WF 1,T,DBAWO-1,WIND,DBNKOWF1,Doggerbank OWF Project 1,,-0.0079685,2024-09-02,9999-12-31,,
,T_DRSLW-1,Dersalloch Windfarm,T,DRSLW-1,WIND,SPCRE01,SP Renewables (UK) Limited,,-0.0146251,2024-09-02,9999-12-31,,
_N,E_DALSW-1,Dalswinton Windfarm,E,DALSW-1,WIND,AIRGEN,Mobius Renewables Gen. (GB),DEFAULT__N,-0.0146251,2024-09-02,9999-12-31,Southern Scotland,SP Energy Networks
,T_DALQW-1,Dalquhandy  Wind Farm,T,DALQW-1,WIND,STATKRA1,Statkraft Markets Gmbh,,-0.0146251,2024-09-02,9999-12-31,,
,T_CUMHW-1,Cumberhead wind energy limited,T,CUMHW-1,WIND,LENCO,EDF Energy Customers Ltd,,-0.0146251,2024-09-02,9999-12-31,,
,T_CRYRW-2,Crystal Rig II Windfarm,T,CRYRW-2,WIND,ENECOUK,Eneco Energy Trade,,-0.0146251,2024-09-02,9999-12-31,,
,T_CRYRW-3,Crystal Rig III,T,CRYRW-3,WIND,ENECOUK,Eneco Energy Trade,,-0.0146251,2024-09-02,9999-12-31,,
,T_CRDEW-2,Crossdykes WF-2,T,CRDEW-2,WIND,CDWF0620,Crossdykes WF Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_CRDEW-1,Crossdykes WF-1,T,CRDEW-1,WIND,CDWF0620,Crossdykes WF Limited,,-0.0146251,2024-09-02,9999-12-31,,
,T_CREAW-1,Creag Riabhach Wind Farm,T,CREAW-1,WIND,CREAGWF1,Creag Riabhach Wind Farm Ltd,,-0.0417624,2024-09-02,9999-12-31,,
_N,E_CRGTW-1,Craig 2 Wind Farm,E,CRGTW-1,WIND,BRITGAS,British Gas Trading Ltd,DEFAULT__N,-0.0146251,2024-09-02,9999-12-31,Southern Scotland,SP Energy Networks
_P,C__PSTAT011,C__PSTAT011-AAA-NAN-184,S,TMNCW-1,WIND,STATKRA1,Statkraft Markets Gmbh,DEFAULT__P,-0.0417624,2024-09-02,9999-12-31,Northern Scotland,Scottish and Southern Electricity Networks
