tradeExecTime,volumeMW,price,name,dlvryStart,dlvryEnd
2023-12-21 12:47:31+00:00,6.6,53.54,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:31+00:00,5.4,55.0,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:31+00:00,1.8,54.64,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:31+00:00,0.3,53.64,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:31+00:00,2.6,55.0,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:32+00:00,2.1,53.54,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:32+00:00,2.1,43.05,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:47:32+00:00,0.8,53.54,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:32+00:00,0.8,43.05,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:47:37+00:00,0.9,43.05,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:47:37+00:00,1.0,43.05,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:47:37+00:00,0.9,53.54,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:37+00:00,1.1,43.05,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:47:37+00:00,1.1,53.54,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:37+00:00,3.0,53.13,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:47:37+00:00,1.0,53.54,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:48:51+00:00,5.0,55.0,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:49:05+00:00,2.3,55.0,2H231221-5A,2023-12-21T15:00:00+00:00,2023-12-21T17:00:00+00:00
2023-12-21 12:50:17+00:00,5.0,39.99,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:50:17+00:00,5.0,39.99,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:50:27+00:00,5.0,39.98,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:50:33+00:00,1.0,39.98,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:50:33+00:00,5.0,39.98,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:50:33+00:00,1.0,39.98,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:51:52+00:00,5.0,39.22,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:51:52+00:00,3.4,39.22,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
2023-12-21 12:51:52+00:00,1.0,47.57,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:54:06+00:00,4.1,47.67,1H231221-15,2023-12-21T15:00:00+00:00,2023-12-21T16:00:00+00:00
2023-12-21 12:54:37+00:00,2.0,39.88,HH231221-31,2023-12-21T15:00:00+00:00,2023-12-21T15:30:00+00:00
